Rank,Nome,Superação,Na Meta
1,MEIA SOLA IGUATEMI,"27,61%",🚀
2,MEIA SOLA RIOMAR,"18,68%",🚀
3,MEIA SOLA MAISON,"13,26%",🚀
4,MEIA SOLA OFF,"7,18%",🚀
5,SCHUTZ RIOMAR,"2,61%",🚀
6,SCHUTZ ALDEOTA,"-0,26%",🚗
7,AREZZO KENNEDY,"-8,18%",🚗
8,ANACAPRI IGUATEMI,"-10,69%",🚗
9,AREZZO CARIRI,"-12,45%",🚗
10,ANACAPRI RIOMAR,"-12,92%",🚗
11,AREZZO 408,"-12,95%",🚗
12,SCHUTZ IGUATEMI,"-13,88%",🚗
13,AREZZO SOBRAL,"-15,96%",🚗
14,AREZZO DOM LUIS,"-18,34%",🚗
15,AREZZO RIOMAR,"-21,74%",🚗
16,ANACAPRI ALDEOTA,"-22,06%",🚗
17,MEIA SOLA ALDEOTA,"-24,95%",🚗
18,AREZZO 90,"-25,55%",🚗
19,ANACAPRI CARIRI,"-26,19%",🚗
20,AREZZO CENTRO,"-31,08%",🚗
